Z_Thresh,Vol_Ptile,Win_Rate,Avg_Profit_Log,Trades_Per_Week,Total_Trades
0.5,0,35.43,0.000323,4.8,2738
0.5,10,35.59,0.000388,4.33,2470
0.5,20,35.46,0.000425,3.81,2174
0.5,30,36.5,0.000607,3.31,1885
0.5,40,36.64,0.000651,2.87,1635
0.5,50,37.67,0.00077,2.4,1367
0.6,0,35.44,0.000324,4.41,2511
0.6,10,35.53,0.000389,3.96,2260
0.6,20,35.34,0.000427,3.49,1989
0.6,30,36.32,0.000608,3.01,1718
0.6,40,36.49,0.000662,2.61,1488
0.6,50,37.53,0.000807,2.17,1239
0.7,0,35.78,0.000406,4.02,2289
0.7,10,35.98,0.000485,3.62,2065
0.7,20,35.82,0.000543,3.18,1812
0.7,30,36.75,0.00073,2.74,1562
0.7,40,37.06,0.000791,2.37,1352
0.7,50,38.12,0.000946,1.98,1128
0.8,0,35.54,0.000367,3.5,1995
0.8,10,35.82,0.000419,3.17,1809
0.8,20,35.75,0.000448,2.79,1589
0.8,30,36.71,0.000637,2.42,1381
0.8,40,37.2,0.000692,2.1,1199
0.8,50,38.37,0.000857,1.74,993
0.9,0,35.93,0.000454,2.97,1695
0.9,10,36.22,0.00051,2.71,1546
0.9,20,36.06,0.000558,2.38,1359
0.9,30,37.1,0.000767,2.08,1186
0.9,40,37.66,0.00083,1.8,1025
0.9,50,38.84,0.001035,1.48,842
1.0,0,35.61,0.00049,2.55,1452
1.0,10,35.72,0.000538,2.33,1327
1.0,20,35.63,0.00061,2.04,1162
1.0,30,36.48,0.000806,1.78,1017
1.0,40,37.27,0.00089,1.54,880
1.0,50,38.66,0.001133,1.26,719
1.1,0,36.16,0.000527,2.15,1225
1.1,10,36.1,0.000581,1.96,1119
1.1,20,35.96,0.000629,1.72,979
1.1,30,36.62,0.000821,1.51,863
1.1,40,37.73,0.000966,1.32,750
1.1,50,39.05,0.001201,1.07,612
1.2,0,36.42,0.000654,1.82,1038
1.2,10,36.45,0.000741,1.67,952
1.2,20,36.35,0.000812,1.45,828
1.2,30,36.83,0.000975,1.29,733
1.2,40,38.15,0.001119,1.12,637
1.2,50,39.2,0.001359,0.92,523
1.3,0,37.16,0.000837,1.53,872
1.3,10,37.16,0.000953,1.41,802
1.3,20,37.52,0.001091,1.22,693
1.3,30,38.11,0.001253,1.08,614
1.3,40,39.29,0.001437,0.93,532
1.3,50,40.23,0.001711,0.75,430
1.4,0,36.81,0.000718,1.26,720
1.4,10,36.5,0.000808,1.16,663
1.4,20,37.04,0.000973,0.99,567
1.4,30,37.05,0.001076,0.88,502
1.4,40,38.58,0.001244,0.77,438
1.4,50,39.61,0.001481,0.62,356
1.5,0,39.13,0.000928,1.01,575
1.5,10,38.59,0.001002,0.92,526
1.5,20,39.78,0.001226,0.78,445
1.5,30,39.04,0.001304,0.7,397
1.5,40,39.83,0.001461,0.61,349
1.5,50,40.62,0.001708,0.51,288
1.6,0,39.57,0.001247,0.82,465
1.6,10,39.25,0.001353,0.75,428
1.6,20,40.5,0.001597,0.64,363
1.6,30,40.31,0.001725,0.57,325
1.6,40,40.77,0.001828,0.5,287
1.6,50,42.02,0.002176,0.42,238
1.7,0,39.57,0.001462,0.65,369
1.7,10,39.12,0.001564,0.6,340
1.7,20,41.11,0.001896,0.5,287
1.7,30,40.7,0.002045,0.45,258
1.7,40,40.52,0.002035,0.41,232
1.7,50,41.75,0.002316,0.34,194
1.8,0,41.37,0.001754,0.54,307
1.8,10,41.26,0.001818,0.5,286
1.8,20,43.15,0.002232,0.42,241
1.8,30,42.79,0.002425,0.38,215
1.8,40,42.93,0.002485,0.34,191
1.8,50,42.07,0.002577,0.29,164
1.9,0,44.49,0.001997,0.43,245
1.9,10,44.3,0.002045,0.4,228
1.9,20,45.79,0.002484,0.33,190
1.9,30,44.91,0.002715,0.29,167
1.9,40,44.3,0.002632,0.26,149
1.9,50,43.75,0.003001,0.22,128
2.0,0,45.19,0.002207,0.36,208
2.0,10,45.36,0.002309,0.34,194
2.0,20,47.47,0.002887,0.28,158
2.0,30,46.81,0.003127,0.25,141
2.0,40,46.83,0.003072,0.22,126
2.0,50,46.73,0.003633,0.19,107
2.1,0,45.76,0.002151,0.31,177
2.1,10,46.01,0.002266,0.29,163
2.1,20,48.87,0.002893,0.23,133
2.1,30,48.28,0.003185,0.2,116
2.1,40,48.54,0.003088,0.18,103
2.1,50,48.89,0.003503,0.16,90
2.2,0,46.26,0.002215,0.26,147
2.2,10,46.67,0.002305,0.24,135
2.2,20,48.65,0.002834,0.19,111
2.2,30,48.48,0.003176,0.17,99
2.2,40,48.28,0.002968,0.15,87
2.2,50,48.0,0.00338,0.13,75
2.3,0,45.6,0.002143,0.22,125
2.3,10,45.22,0.002136,0.2,115
2.3,20,47.87,0.00276,0.16,94
2.3,30,48.81,0.003182,0.15,84
2.3,40,48.0,0.002872,0.13,75
2.3,50,47.62,0.003344,0.11,63
2.4,0,44.34,0.001829,0.19,106
2.4,10,44.44,0.001802,0.17,99
2.4,20,47.62,0.002408,0.15,84
2.4,30,46.75,0.002702,0.14,77
2.4,40,45.59,0.002297,0.12,68
2.4,50,43.86,0.002528,0.1,57
2.5,0,47.13,0.002176,0.15,87
2.5,10,46.91,0.002144,0.14,81
2.5,20,50.75,0.00293,0.12,67
2.5,30,50.0,0.003139,0.11,62
2.5,40,47.27,0.002589,0.1,55
